id	lon	lat	label
3565	-118.132666	34.134362	SCAP_15
3569	-118.114332	34.045246	SCAP_13
3577	-117.809554	34.017148	SCAP_24
3581	-118.134623	34.053542	SCAP_23
3586	-118.143656	33.936002	Bico de Pato
3610	-119.731915	36.679045	Malaga
3617	-118.133589	34.059409	SCAP_10
3631	-122.831021	38.407627	Sebastopol
3666	-122.414623	37.770439	Isis St
3674	-123.783264	40.072788	Benbow, CA
3686	-122.23143	38.073925	Carquinez One
3738	-122.276706	38.101433	VFD MI
3758	-122.258755	38.114254	Buckles St
3762	-122.215461	38.095808	Orchard Avenue
3765	-122.149458	38.060789	Benicia Rankin
3767	-119.858889	37.874755	Evergreen Lodge
3769	-122.215034	38.080554	Old Glen Cove
3773	-122.259217	38.113435	Repello Muggletum
3779	-118.341087	33.872214	North Torrance
3782	-122.241011	38.120362	El Camino Real/Valle Vista
3784	-122.25952	38.097691	Little Old Lady By The River
3789	-119.728494	37.381589	ARA Trailer
3791	-122.197826	38.134271	Columbus Parkway
3797	-122.237915	37.791932	San Antonio, Oakland 
3813	-119.728526	37.38162	PIO Tent
3838	-122.227101	37.802432	Glenview
3840	-122.550987	37.974382	San Anselmo
3846	-122.184152	39.744805	Orland
3848	-122.638188	38.259795	MARINCC
3852	-121.438074	38.57925	River Park
3854	-122.246619	37.862162	Claremont Blvd
3856	-122.056385	37.264412	Mount Eden Valley
3858	-121.637509	37.111192	Specialized HQ - Outdoors
3860	-118.030084	33.682624	Gatsby's Castle
3862	-121.637657	37.111748	Specialized HQ Indoors
3869	-122.439435	37.761385	Castro
3875	-122.442702	37.772111	Lyon’s Den
3880	-122.267446	38.094378	Mare Island
3882	-117.211332	32.940576	Carmel Valley, San Diego, CA
3884	-121.091009	38.672415	El Dorado Hills
3894	-121.922717	37.821937	Blackhawk
3900	-122.465573	37.75213	Golden Gate Heights
3909	-122.458774	37.728475	Westwood Park, San Fran., CA
3926	-122.029731	37.039689	Whispering Pines Scotts Valley
3928	-118.518218	34.038146	Huntington Palisades
3930	-122.237466	38.149868	Fair Grounds
3932	-120.989988	38.679115	Cameron Airpark
3934	-122.487844	37.619596	Fairview West Pacifica
3936	-122.040191	38.459879	Sky ranch lane
3939	-122.173721	38.074533	Baby MacBean
3960	-122.260096	38.14128	211 Sonora pass rd
3964	-122.200224	38.074216	Topsail
3970	-122.249604	37.472914	Eagle Hill
3978	-122.443502	37.80299	Marina SF
3996	-122.391387	37.788969	South Beach
3998	-122.444018	37.734378	Miraloma / Glen Park
4008	-122.068677	37.083758	Quail Hollow Rd.
4045	-118.197572	34.0648	USCEHC Soto St III
4047	-118.196692	34.066124	USCEHC Soto St IV
4049	-118.21734	34.11759	USCEHC El Paso Dr. 
4054	-118.21918	33.9892	USCEHC Slauson
4058	-118.150435	34.107237	USCEHC Fair Oaks
4065	-118.421778	34.325225	USCEHC Berg St.
4067	-118.176913	34.131061	USCEHC - Ave 64
4069	-118.197132	34.065013	USCEHC - Soto St. indoor
4081	-118.009182	34.038184	USCEHC Andrews School
4087	-121.832505	37.234582	Oneida Dr.
4089	-122.286504	37.486733	Nisley Home
4091	-122.893903	38.766178	Tasca di Stelle
4093	-121.987498	37.393342	Sunnyvale, CA, USA
4097	-122.026904	36.955491	Gateway School
4099	-121.80977	37.240967	Palmia Park
4101	-122.476532	37.78119	17th Ave
4103	-121.887543	37.236415	Almaden Valley
4109	-118.22038	34.204542	North_Glendale
4135	-121.77647	39.732016	352 Saint Augustine Drive, Chico, CA 95928
4137	-122.277956	38.016884	Rodeo2
4161	-122.264533	38.03187	Rodeo-1
4187	-119.678206	34.445036	331 Conejo Road, Santa Barbara,CA
4299	-122.0229	37.2747	Saratoga Scotland near Glasgow Rd
4305	-117.358823	33.782753	Gavilan Hills CA
4311	-121.202567	38.758456	Ashby
4319	-122.119572	37.381949	Los Altos
4335	-122.297672	37.809883	West Oakland, Oakland, CA
4339	-122.193508	37.908272	Orinda
4355	-122.034019	36.968538	Santa Cruz High School
4372	-122.411868	37.754071	The Mission: Clean Air is Hip
4387	-122.262519	37.891855	Cragmont Ave
4389	-122.157286	37.846274	Orinda
4391	-122.024496	38.300408	Nik’s House of Ill Repute
4399	-118.099329	34.17797	East Altadena
4421	-122.250681	37.885448	Terrace View, Fairlawn & Columbia Circle, Berkeley Ca.
4431	-121.950265	37.248825	SchnauzerLogic Studios
4445	-122.452406	37.73713	Mt. Davidson
4450	-121.202578	38.759799	Miners Ravine
4452	-120.167933	39.098819	Tahoe Swiss Village
4478	-122.436161	38.57168	Pacific Union College
4480	-122.420486	37.790597	POLK GULCH
4491	-122.251223	38.092815	Vallejo Flood and Wastewater District
4506	-122.27071	37.875165	North Berkeley
4518	-122.6718	38.441239	Yulupa Cohousing
4520	-120.658548	35.265869	San Luis Obispo, Meadow Street
4535	-118.107666	34.127506	MRO-01
4549	-118.05544	34.163505	Solar Vic's Air Quality Monitor
4551	-119.838748	36.8113	Van Ness Extension
4571	-118.395597	33.865359	Marineland Outdoor
4575	-121.838373	37.366795	Alum Rock (Pala Ave)
4588	-117.631706	33.613848	Pavion Park, Mission Viejo, CA
4606	-122.11939	37.280639	Stevens Canyon
4610	-122.061968	37.303525	Monta Vista South Lindy Ln
4613	-120.994838	37.798345	1311 San Joaquin St Escalon, CA
4615	-122.224776	37.457715	Alexander_Ave
4621	-120.134755	34.609341	College Canyon Outside
4658	-122.015881	37.969026	Concord
4660	-117.309751	33.953518	SCSH_22
4662	-118.109702	34.066422	SCAP_35
4664	-117.312039	33.94276	SCSH_02
4666	-117.309295	33.950621	SCSH_08
4670	-118.15437	34.054522	SCAP_31
4672	-117.306348	33.951866	SCSH_03
4674	-118.147332	34.046103	SCAP_42
4676	-117.309343	33.953139	SCSH_25
4682	-117.310242	33.941899	SCSH_19
4686	-118.12843	34.044688	SCAP_29
4689	-118.141515	34.047986	SCAP_34
4692	-118.153397	34.060523	SCAP_41
4694	-117.304063	33.942618	SCSH_30
4696	-117.303177	33.943663	STOCKPORT HOME
4698	-117.309008	33.942371	SCSH_16
4702	-118.103012	34.103541	SCAP_36
4704	-117.305656	33.949285	SCSH_14
4708	-117.309391	33.94623	SCSH_12
4711	-118.153217	34.095573	SCAP_37
